"datetime";"exercise";"weight";"reps";"sets";"remarks"
"2023-08-14 08:45:15";"Pull up";"84.1";5;5;"It’s heavy, because I did pull ups already"
"2023-08-14 08:33:13";"Front press";50;5;5;"Was quite heavy, but after those heavy singles it’s no wonder"
"2023-08-14 08:16:52";"Front press";70;1;1;"Was not that heavy but my lower body is not stable enough"
"2023-08-14 08:11:02";"Front press";60;2;2;"The new grip is good"
"2023-08-14 08:10:41";"Front press";70;1;1;"Not that hard"
"2023-08-13 06:02:36";"Side raise";10;10;3;"Was manageable, but still heavy"
"2023-08-12 20:01:16";"Pull up";"78.1";5;3;"It’s not that hard, but it’s good-I should get more work into that, maybe some 5x10 for maybe 4 or 5 workouts "
"2023-08-12 19:52:13";"Pull up";"78.1";5;5;
"2023-08-12 19:51:49";"Pull up";"78.1";8;1;
"2023-08-11 08:34:13";"Back squat";120;1;1;
"2023-08-11 08:33:50";"Back squat";110;1;1;
"2023-08-11 08:33:28";"Back squat";100;1;1;
"2023-08-10 08:44:28";"Bench press";60;10;3;"Not that bad, my lung and condition is bad"
"2023-08-10 08:31:50";"Bench press";95;1;1;"It’s not that hard, next time I’m going for 100"
"2023-08-10 08:31:21";"Bench press";90;1;1;
"2023-08-10 08:30:56";"Bench press";80;1;1;
"2023-08-09 07:41:28";"Clean pull";120;3;2;"With straps but there is no speed"
"2023-08-09 07:40:16";"Clean pull";100;5;4;"From level 4 in my gym, with straps"
"2023-08-09 07:38:37";"Deadlift";160;1;2;"With belt and straps"
"2023-08-09 07:37:50";"Deadlift";140;1;2;"With belt, felt not that hard but I need mass on the shoulder and neck"
"2023-08-09 07:37:06";"Deadlift";120;1;1;"Without belt"
"2023-08-09 07:36:39";"Deadlift";120;1;1;"With belt"
"2023-08-09 07:36:17";"Deadlift";100;1;2;
"2023-08-09 07:35:43";"Deadlift";60;3;1;
"2023-08-07 17:32:33";"Snatch pull";70;3;3;"It was somewhat heavy, I did some jumps before the pull and it was good"
"2023-08-07 17:31:32";"Snatch pull";60;3;3;"I did some jumps before doing the pull, it got better, I think I’m getting the feeling for it again"
"2023-08-07 17:30:52";"Snatch pull";50;3;4;"Yes it’s getting better, but still not there yet"
"2023-08-07 17:30:08";"Snatch pull";40;5;2;"It was easy, but my technique isn’t right yet"
"2023-08-07 09:10:38";"Snatch pull";40;5;1;"Not that crazy"
"2023-08-07 09:05:58";"Snatch pull";40;5;3;"Not that bad, but this young guy is somehow strange"
"2023-08-07 08:58:14";"Front press";60;3;1;"Not that hard, just more work"
"2023-08-07 08:54:50";"Front press";60;5;1;"It got hard at the 5th rep"
"2023-08-07 08:54:11";"Front press";50;5;1;"It was not hard but I have to train more"
"2023-08-07 08:47:11";"Front press";40;5;1;
"2023-08-05 08:21:53";"Flexibility";"0";"1";"1";"Did my old flexibility routine, will continue this shit"
"2023-08-05 08:06:31";"Back row";"70";"5";"4";"Not that easy"
"2023-08-05 07:51:05";"Clean pull";"120";"4";"5";"Slow"
"2023-08-05 07:32:30";"Clean pull";"100";"3";"5";"It’s easy, but I’m slow still, I’ll increase the weight and see what I can do"
"2023-08-04 11:25:32";"Ab raise";"8";"10";"3";"It’s not 8kg but 8kg in addition to my bw "
"2023-08-04 11:07:27";"Back squat";"115";"1";"1";"not that hard "
"2023-08-04 11:06:40";"Back squat";"110";"1";"1";"It’s not that hard, maybe more abs"
"2023-08-04 11:06:17";"Back squat";"100";"1";"2";"Easy"
"2023-08-04 11:05:33";"Back squat";"80";"3";"1";"It’s quite hard with the belt, maybe I need a wl belt"
"2023-08-04 11:04:45";"Back squat";"60";"3";"1";
"2023-08-03 16:35:20";"back row";"60";"6";"4";"Felt good, more work!!!"
"2023-08-03 15:36:20";"Bench press";"60";"12";"1";"None"
"2023-08-03 15:29:51";"bench press";"80";"5";"6";"It’s not that hard, but the back is getting sore slowly but surely …"
"2023-08-02 19:27:29";"pull up";"77.8";"5";"4";"It was pretty easy, more work next time"
"2023-08-02 19:16:25";"Back press";"50";"5";"2";"The last one was really good, i think I can do more …"
"2023-08-02 19:02:55";"Back press";"50";"5";"5";"Pretty taxing on the heart, i need to stop smoking "
"2023-08-02 10:03:31";"Back squat";"60";"10";"1";"Last set but it was heavy"
"2023-08-02 10:03:03";"Back squat";"60";"5";"3";"Was Not too hard"
"2023-08-02 10:02:29";"Back squat";"100";"3";"6";"Not too hard and not too easy"
"2023-08-02 10:02:06";"back squat";"80";"3";"1";"Warm up"
"2023-08-02 10:01:37";"back squat";"60";"3";"1";"Warm up"
"2023-08-01 17:33:43";"side raise";"6";"10";"4";"i did my version with strict arms and flexed back and neck"
"2023-08-01 07:30";"neck flexion";"5";"20";"3";"it’s not that hard but I have not practiced this excercise in quite a while"
"2023-08-01 07:15";"glute ham raise";"78.2";"10";"1";
"2023-08-01 07:15";"glute ham raise";"78.2";"8";"1";
"2023-08-01 07:15";"glute ham raise";"78.2";"7";"1";
"2023-08-01 07:15";"glute ham raise";"78.2";"6";"1";
"2023-08-01 07:15";"glute ham raise";"78.2";"5";"1";
"2023-08-01 07:04";"neck pull";"80";"10";"5";
"2023-08-01 06:32";"deadlift";"60";"5";"2";
"2023-08-01 06:32";"deadlift";"80";"5";"2";
"2023-08-01 06:32";"deadlift";"110";"5";"4";"was not that hard,but I need some muscles still, it’s hard on the back,legs are fine + 1rep extra"
"2023-07-31 07:00:11";"Snatch pull";"50";"3";"1";"It’s ok but I need more work and have to get faster"
"2023-07-31 06:58:29";"Snatch pull";"50";"3";"1";"It’s not hard"
"2023-07-31 06:54:37";"Snatch pull";"40";"6";"1";"It’s quite ok"
"2023-07-31 06:51:58";"Snatch pull";"40";"3";"1";"None"
"2023-07-31 06:48:22";"Snatch pull";"30";"5";"1";"Not that hard"
"2023-07-31 06:46:20";"Snatch pull";"20";"5";"2";"I have to improve my stability overall just do more work"
"2023-07-31 06:40:35";"Back press";"40";"6";"1";"It’s getting hard more work will help"
"2023-07-31 06:36:18";"Back press";"40";"7";"1";"It’s getting hard a longer pause between sets"
"2023-07-31 06:33:19";"Back press";"40";"7";"1";"None"
"2023-07-31 06:30:29";"Back press";"40";"4";"1";"The last rep was with a little bit of push"
"2023-07-31 06:26:23";"Back press";"55";"5";"1";"That’s a nice excercise for the upper body i love it"
"2023-07-31 06:23:49";"Back press";"55";"4";"1";"Pretty hard actually"
"2023-07-31 06:21:55";"Back press";"50";"5";"1";"Pretty easy overall but hard on the traps"
"2023-07-31 06:20:05";"Back press";"30";"6";"2";"None"
"2023-07-31 06:19:40";"Back press";"20";"7";"2";"Again and again"
"2023-07-31 01:36:36";"Side raise";"6";"8";"1";"It’s getting even harder now"
"2023-07-31 01:27:15";"Side raise";"6";"10";"2";"It’s good"
"2023-07-31 01:21:35";"Side raise";"4";"10";"2";"It’s working great i just need more weight to feel it better let’s try 6"
